number,type,gu,area,room,lat_y,long_x
1248,도시형,성동구,386.64,12,37.5511474,127.0677587
1249,도시형,성북구,562.72,19,37.6160606,127.044307
1250,도시형,성북구,359.29,16,37.611564,127.0143668
1251,도시형,성북구,248.18,10,37.611564,127.0143668
1252,도시형,양천구,489.33,17,37.5343158,126.8665328
1253,도시형,강동구,353.56,10,37.5458614,127.1691745
1254,도시형,강동구,492.74,14,37.5269122,127.1242873
1255,도시형,광진구,550.84,20,37.5588352,127.077377
1256,도시형,금천구,483.36,16,37.4742471,126.8951422
1257,도시형,금천구,483.36,16,37.4742471,126.8951422
1258,도시형,금천구,483.36,16,37.4742471,126.8951422
1259,도시형,성북구,472.96,16,37.5980955,127.027528
1260,도시형,강동구,426.45,15,37.5445307,127.1233376
1261,도시형,강동구,549.92,20,37.5490696,127.12996
1262,도시형,강동구,569.56,18,37.5490696,127.12996
1263,도시형,양천구,547.62,15,37.5266057,126.8513537
1264,도시형,강남구,305.1,18,37.5791729,127.0398684
1265,도시형,강남구,444.57,17,37.4792932,127.0465043
1266,도시형,강동구,433.24,16,37.5473914,127.1383595
1267,도시형,노원구,550.92,20,37.6248275,127.0724857
