number,type,gu,area,room,lat_y,long_x
890,다가구,송파구,577.5,10,37.5109147,127.119472
891,다가구,송파구,372.22,8,37.4888945,127.1255961
892,다가구,송파구,460.92,10,37.4881662,127.1333976
893,다가구,송파구,413.68,11,37.508878,127.1131057
894,다가구,광진구,1000,24,37.5302297,127.0766287
895,다가구,중랑구,433.17,8,37.6126051,127.07459
896,다가구,동대문구,579.89,12,37.5793397,127.0696186
897,다가구,구로구,584.08,12,37.5059,126.85999
898,다가구,구로구,585.24,12,37.5059,126.85999
899,다가구,강동구,251.56,8,37.5473071,127.1398449
900,다가구,강동구,304.07,7,37.5448946,127.1319066
901,다가구,강동구,374.86,9,37.5489589,127.1372105
902,다가구,강동구,337.4,8,37.5489589,127.1372105
903,다가구,강동구,474.45,11,37.4825572,126.856878
904,다가구,광진구,1000,22,37.531202,127.0772744
905,다가구,노원구,1000,22,37.6282688,127.0742061
906,다가구,중랑구,1000,22,37.5983937,127.076586
907,다가구,강동구,369.68,8,37.5466376,127.1685566
908,다가구,강동구,360.2,8,37.5466376,127.1685566
909,다가구,강동구,396.41,10,37.5524089,127.137631
910,다가구,강동구,483.61,10,37.5532458,127.1347143
911,다가구,강동구,445.43,10,37.54856,127.13117
912,다가구,강동구,350.36,7,37.5473914,127.1383595
913,다가구,강동구,532.49,10,37.5473914,127.1383595
914,다가구,강동구,407.85,9,37.5489589,127.1372105
915,다가구,강동구,220.62,5,37.5469869,127.1307324
916,다가구,노원구,278.74,6,37.6605142,127.0673627
917,다가구,성북구,489.91,10,37.6098986,127.0124443
918,다가구,성북구,456.92,8,37.6092586,126.9974291
919,다가구,송파구,576.78,16,37.5054451,127.118023
920,다가구,송파구,550.49,12,37.5275984,127.1174132
921,다가구,송파구,532.53,12,37.5054451,127.118023
922,다가구,송파구,503.73,12,37.5054451,127.118023
923,다가구,은평구,562.22,12,37.616922,126.9080717
924,다가구,은평구,408.21,8,37.6171162,126.9044926
925,다가구,중랑구,479.19,10,37.6118019,127.0751973
926,다가구,광진구,415.53,10,37.5363797,127.0914994
927,다가구,광진구,387.29,10,37.5283532,127.0841329
928,다가구,강동구,589.52,12,37.5455932,127.1692079
929,다가구,강동구,377.94,8,37.5455932,127.1692079
930,다가구,강동구,418.08,8,37.5427819,127.1352871
931,다가구,강동구,585.56,11,37.5427819,127.1352871
932,다가구,송파구,428.48,10,37.5335392,127.1178735
933,다가구,강동구,473.25,10,37.5509051,127.1257573
934,다가구,강동구,410.04,10,37.54856,127.13117
935,다가구,광진구,297.96,6,37.5283532,127.0841329
936,다가구,광진구,581.97,15,37.531202,127.0772744
937,다가구,동대문구,550.02,10,37.5891454,127.0590217
938,다가구,동대문구,475.52,8,37.5891454,127.0590217
939,다가구,서대문구,375.79,8,37.582635,126.9211963
940,다가구,서대문구,377.35,8,37.582635,126.9211963
941,다가구,성북구,457.68,8,37.6092586,126.9974291
942,다가구,성북구,286.08,6,37.6092586,126.9974291
943,다가구,성북구,586.2,12,37.611564,127.0143668
944,다가구,성북구,465.28,8,37.6076549,127.013154
945,다가구,성북구,428.24,8,37.6170414,127.0045749
946,다가구,성북구,410.91,11,37.6170414,127.0045749
947,다가구,양천구,581.04,12,37.5257497,126.8508336
948,다가구,양천구,565.79,16,37.5257497,126.8508336
949,다가구,양천구,511.36,12,37.5260963,126.8536045
950,다가구,양천구,511.36,12,37.5260963,126.8536045
951,다가구,양천구,511.36,12,37.5260963,126.8536045
952,다가구,양천구,421.84,10,37.5260963,126.8536045
953,다가구,중랑구,454.78,10,37.5926322,127.1025106
954,다가구,동대문구,1000,22,37.5741492,127.0483699
955,다가구,강동구,438.53,10,37.5442135,127.1363444
956,다가구,성동구,390.07,7,37.5488988,127.0649909
957,다가구,성북구,589.93,12,37.6003932,127.040513
958,다가구,은평구,1199.19,27,37.6206922,126.9209477
959,다가구,광진구,414.36,8,37.562759,127.0765353
960,다가구,광진구,529.09,10,37.562759,127.0765353
961,다가구,강동구,426.95,11,37.533381,127.1246783
962,다가구,강동구,575.22,12,37.5448946,127.1319066
963,다가구,강동구,425.43,9,37.5473914,127.1383595
964,다가구,구로구,553.31,12,37.4891293,126.8528384
965,다가구,노원구,291.67,6,37.6342937,127.0586301
966,다가구,동대문구,0,16,37.5891454,127.0590217
967,다가구,송파구,425.3,10,37.5030338,127.1400136
968,다가구,송파구,389.84,10,37.4995953,127.139018
969,다가구,강동구,437.68,10,37.5407764,127.1363624
970,다가구,강동구,553.45,11,37.5465908,127.1290027
971,다가구,강동구,362.45,8,37.5458614,127.1691745
972,다가구,강동구,498.92,10,37.5511143,127.1355393
973,다가구,강동구,476.66,10,37.5401281,127.1344549
974,다가구,강동구,522.35,10,37.5428871,127.1348138
975,다가구,강동구,385.06,8,37.527952,127.1259059
976,다가구,강동구,583.87,10,37.5485519,127.13627
977,다가구,강동구,442.4,10,37.547865,127.1376725
978,다가구,관악구,488.56,10,37.4931786,126.9302148
979,다가구,광진구,575.18,15,37.5288794,127.0804296
980,다가구,광진구,472.07,13,37.5334195,127.0803286
981,다가구,광진구,486.95,13,37.5334195,127.0803286
982,다가구,광진구,463.96,10,37.5304815,127.0808173
983,다가구,광진구,571.06,13,37.5710673,127.0813763
984,다가구,광진구,565.43,15,37.5710673,127.0813763
985,다가구,광진구,449.5,10,37.5625611,127.0770972
986,다가구,금천구,580.85,12,37.4759396,126.9009248
987,다가구,노원구,369.03,7,37.6605142,127.0673627
988,다가구,노원구,578.81,12,37.6726613,127.05113
989,다가구,동대문구,1634.01,35,37.5629552,127.0679645
990,다가구,동작구,584.17,13,37.4800965,126.9735833
991,다가구,서초구,411.78,10,37.4690515,127.0436406
992,다가구,양천구,575.32,14,37.540057,126.8701074
993,다가구,영등포구,560.05,11,37.4979077,126.8953838
994,다가구,중랑구,398.91,10,37.5911444,127.1027993
995,다가구,중랑구,398.58,8,37.6087706,127.0763808
996,다가구,노원구,587.66,11,37.6745081,127.0610072
997,다가구,강동구,506.74,10,37.5510241,127.1373955
998,다가구,강동구,375.48,8,37.547865,127.1376725
999,다가구,강동구,369.07,8,37.5458614,127.1691745
1000,다가구,강동구,592.92,12,37.5516478,127.1384114
1001,다가구,강동구,401.64,7,37.5489589,127.1372105
1002,다가구,송파구,531.6,11,37.4940111,127.1330804
1003,다가구,강남구,399.26,10,37.4733612,127.0521947
1004,다가구,강남구,394.46,10,37.4726313,127.0510654
1005,다가구,구로구,505.4,10,37.5078836,126.8469435
1006,다가구,동대문구,395.88,8,37.5891454,127.0590217
1007,다가구,동대문구,454.28,10,37.5824824,127.0397892
1008,다가구,성북구,537.44,10,37.61373,127.03915
1009,다가구,성북구,529.78,15,37.6143627,127.0430723
1010,다가구,성북구,560.89,15,37.6143627,127.0430723
1011,다가구,성북구,366.44,8,37.6143627,127.0430723
1012,다가구,성북구,353.33,8,37.6143627,127.0430723
1013,다가구,양천구,407.53,11,37.5427255,126.8674458
1014,다가구,영등포구,532.3,10,37.5085524,126.9096654
1015,다가구,은평구,436.58,8,37.5928135,126.9070957
1016,다가구,은평구,455.15,14,37.5928135,126.9070957
1017,다가구,동대문구,588.16,12,37.5742885,127.0704863
1018,다가구,동대문구,470.12,8,37.5742885,127.0704863
1019,다가구,동대문구,588.16,12,37.5755348,127.0696919
1020,다가구,동대문구,470.12,8,37.5755348,127.0696919
1021,다가구,동작구,468.84,8,37.4930814,126.9786986
1022,다가구,동작구,585.2,12,37.4930814,126.9786986
1023,다가구,성북구,580.81,15,37.6161569,127.0450801
1024,다가구,성북구,582.71,14,37.6161569,127.0450801
1025,다가구,은평구,507.5,9,37.5846647,126.8984766
1026,다가구,강동구,510.65,10,37.5462318,127.138563
1027,다가구,광진구,469.64,14,37.5360635,127.0808346
1028,다가구,광진구,357.8,8,37.5360635,127.0808346
1029,다가구,서대문구,571.09,14,37.5685428,126.9601082
1030,다가구,서대문구,579.24,11,37.5794396,126.9149143
1031,다가구,성북구,408.72,8,37.6143627,127.0430723
1032,다가구,동대문구,504.1,10,37.5697228,127.0675228
1033,다가구,동대문구,504.1,10,37.5697228,127.0675228
1034,다가구,동대문구,479.44,8,37.5697228,127.0675228
1035,다가구,동대문구,352.73,7,37.5637453,127.0631517
1036,다가구,관악구,1000,23,37.4885569,126.9178214
1037,다가구,강동구,522.83,11,37.5392053,127.1473146
1038,다가구,강동구,397.88,8,37.5447586,127.1371696
1039,다가구,도봉구,474.93,11,37.6515654,127.0302531
1040,다가구,동대문구,531.64,12,37.5629552,127.0679645
1041,다가구,동대문구,538.02,10,37.5629552,127.0679645
1042,다가구,동대문구,497.89,10,37.576431,127.070637
1043,다가구,동대문구,412.49,8,37.5645133,127.0623478
1044,다가구,성북구,582.84,12,37.6169303,127.0565492
1045,다가구,성북구,582.84,12,37.6169303,127.0565492
1046,다가구,성북구,589.94,12,37.6169303,127.0565492
1047,다가구,성북구,382.69,6,37.6169303,127.0565492
1048,다가구,송파구,538.46,12,37.4938177,127.1360811
1049,다가구,송파구,540.25,10,37.5086286,127.1403605
1050,다가구,영등포구,356.44,7,37.5098069,126.9130392
